issue,true_code,pred_code,hit_bai,hit_shi,hit_ge,hit_all
2024342,164,641,0,0,0,0
2024343,760,870,0,0,1,0
2024344,963,963,1,1,1,1
2024345,869,969,0,1,1,0
2024346,477,457,1,0,1,0
2024347,737,733,1,1,0,0
2024348,542,555,1,0,0,0
2024349,501,015,0,0,0,0
2024350,633,633,1,1,1,1
2024351,894,894,1,1,1,1
2024352,316,661,0,0,0,0
2025001,274,274,1,1,1,1
2025002,343,333,1,0,1,0
2025003,638,638,1,1,1,1
2025004,985,958,1,0,0,0
2025005,831,371,0,0,1,0
2025006,794,794,1,1,1,1
2025007,906,006,0,1,1,0
2025008,828,828,1,1,1,1
2025009,913,983,1,0,1,0
2025010,825,822,1,1,0,0
2025011,476,676,0,1,1,0
2025012,115,111,1,1,0,0
2025013,723,723,1,1,1,1
2025014,097,097,1,1,1,1
2025015,653,363,0,0,1,0
2025016,441,144,0,1,0,0
2025017,310,011,0,1,0,0
2025018,631,611,1,0,1,0
2025019,986,988,1,1,0,0
2025020,219,212,1,1,0,0
2025021,885,966,0,0,0,0
2025022,108,008,0,1,1,0
2025023,865,888,1,0,0,0
2025024,724,724,1,1,1,1
2025025,173,176,1,1,0,0
2025026,342,242,0,1,1,0
2025027,812,870,1,0,0,0
2025028,951,701,0,0,1,0
2025029,349,394,1,0,0,0
2025030,461,166,0,1,0,0
2025031,655,655,1,1,1,1
2025032,429,429,1,1,1,1
2025033,071,000,1,0,0,0
2025034,337,333,1,1,0,0
2025035,612,612,1,1,1,1
2025036,452,422,1,0,1,0
2025037,230,332,0,1,0,0
2025038,707,007,0,1,1,0
2025039,753,753,1,1,1,1
2025040,051,050,1,1,0,0
2025041,870,870,1,1,1,1
2025042,606,206,0,1,1,0
2025043,832,822,1,0,1,0
2025044,796,797,1,1,0,0
2025045,593,593,1,1,1,1
2025046,170,770,0,1,1,0
2025047,922,922,1,1,1,1
2025048,445,445,1,1,1,1
2025049,694,694,1,1,1,1
2025050,036,036,1,1,1,1
2025051,954,954,1,1,1,1
2025052,192,192,1,1,1,1
2025053,461,161,0,1,1,0
2025054,668,668,1,1,1,1
2025055,607,118,0,0,0,0
2025056,403,403,1,1,1,1
2025057,288,288,1,1,1,1
2025058,750,750,1,1,1,1
2025059,423,223,0,1,1,0
2025060,911,991,1,0,1,0
2025061,256,522,0,0,0,0
2025062,016,016,1,1,1,1
2025063,869,668,0,1,0,0
2025064,646,646,1,1,1,1
2025065,519,911,0,1,0,0
2025066,905,909,1,1,0,0
2025067,698,698,1,1,1,1
2025068,392,392,1,1,1,1
2025069,185,181,1,1,0,0
