issue,true_code,pred_code,hit_bai,hit_shi,hit_ge,hit_all
2025070,116,110,1,1,0,0
2025071,277,277,1,1,1,1
2025072,091,010,1,0,0,0
2025073,704,704,1,1,1,1
2025074,743,343,0,1,1,0
2025075,260,206,1,0,0,0
2025076,841,871,1,0,1,0
2025077,157,717,0,0,1,0
2025078,921,921,1,1,1,1
2025079,337,367,1,0,1,0
2025080,687,687,1,1,1,1
2025081,510,501,1,0,0,0
2025082,690,069,0,0,0,0
2025083,255,255,1,1,1,1
2025084,162,162,1,1,1,1
2025085,054,456,0,1,0,0
2025086,975,795,0,0,1,0
2025087,502,505,1,1,0,0
2025088,163,163,1,1,1,1
2025089,635,635,1,1,1,1
2025090,744,744,1,1,1,1
2025091,620,020,0,1,1,0
2025092,972,922,1,0,1,0
2025093,844,444,0,1,1,0
2025094,789,797,1,0,0,0
2025095,586,658,0,0,0,0
2025096,661,617,1,0,0,0
2025097,462,462,1,1,1,1
2025098,105,505,0,1,1,0
2025099,427,277,0,0,1,0
2025100,261,265,1,1,0,0
2025101,187,117,1,0,1,0
2025102,272,712,0,0,1,0
2025103,574,554,1,0,1,0
2025104,323,333,1,0,1,0
2025105,931,931,1,1,1,1
2025106,630,636,1,1,0,0
2025107,057,057,1,1,1,1
2025108,308,388,1,0,1,0
2025109,239,222,1,0,0,0
2025110,866,866,1,1,1,1
2025111,841,140,0,1,0,0
2025112,215,552,0,0,0,0
2025113,713,716,1,1,0,0
2025114,032,032,1,1,1,1
2025115,901,919,1,0,0,0
2025116,327,357,1,0,1,0
2025117,191,191,1,1,1,1
2025118,063,060,1,1,0,0
2025119,554,554,1,1,1,1
2025120,087,091,1,0,0,0
2025121,985,985,1,1,1,1
2025122,478,477,1,1,0,0
2025123,727,827,0,1,1,0
2025124,684,884,0,1,1,0
2025125,409,409,1,1,1,1
2025126,201,021,0,0,1,0
2025127,570,770,0,1,1,0
2025128,724,274,0,0,1,0
2025129,006,006,1,1,1,1
2025130,821,828,1,1,0,0
2025131,166,166,1,1,1,1
2025132,892,992,0,1,1,0
2025133,013,033,1,0,1,0
2025134,680,649,1,0,0,0
2025135,235,255,1,0,1,0
2025136,276,276,1,1,1,1
2025137,037,070,1,0,0,0
2025138,374,374,1,1,1,1
2025139,416,161,0,0,0,0
2025140,786,766,1,0,1,0
2025141,421,422,1,1,0,0
2025142,962,962,1,1,1,1
2025143,758,757,1,1,0,0
2025144,308,308,1,1,1,1
2025145,842,882,1,0,1,0
2025146,630,630,1,1,1,1
2025147,169,169,1,1,1,1
2025148,562,562,1,1,1,1
2025149,915,911,1,1,0,0
2025150,966,996,1,0,1,0
2025151,093,093,1,1,1,1
2025152,227,727,0,1,1,0
2025153,649,649,1,1,1,1
2025154,719,719,1,1,1,1
2025155,708,807,0,1,0,0
2025156,371,331,1,0,1,0
2025157,085,085,1,1,1,1
2025158,664,466,0,1,0,0
2025159,891,191,0,1,1,0
2025160,017,017,1,1,1,1
2025161,904,994,1,0,1,0
2025162,554,554,1,1,1,1
2025163,240,240,1,1,1,1
2025164,341,113,0,0,0,0
2025165,838,839,1,1,0,0
2025166,064,064,1,1,1,1
2025167,137,537,0,1,1,0
2025168,879,979,0,1,1,0
2025169,422,322,0,1,1,0
2025170,965,955,1,0,1,0
2025171,983,988,1,1,0,0
2025172,360,360,1,1,1,1
2025173,759,759,1,1,1,1
2025174,881,881,1,1,1,1
2025175,240,044,0,1,0,0
2025176,636,663,1,0,0,0
2025177,698,698,1,1,1,1
2025178,309,909,0,1,1,0
2025179,823,823,1,1,1,1
2025180,657,657,1,1,1,1
2025181,530,505,1,0,0,0
2025182,151,111,1,0,1,0
2025183,514,554,1,0,1,0
2025184,727,787,1,0,1,0
2025185,097,099,1,1,0,0
2025186,782,792,1,0,1,0
2025187,400,400,1,1,1,1
2025188,073,073,1,1,1,1
2025189,991,991,1,1,1,1
